T/K;Cp;S°
100;33.526;209.025
200;36.372;233.033
298.15;39.878;248.212
300;39.945;248.459
400;43.493;260.448
500;46.576;270.495
600;49.049;279.214
700;50.961;286.924
800;52.434;293.829
900;53.58;300.073
1000;54.484;305.767
1100;55.204;310.995
1200;55.794;315.824
1300;56.279;320.31
1400;56.689;324.496
1500;57.036;328.419
1600;57.338;332.11
1700;57.601;335.594
1800;57.831;338.893
1900;58.04;342.026
